idx,numberOfFilters,numberOfLayers,padding3,dropoutRatio,test_loss,test_acc
0,32,1,True,0.2,3.2486448287963867,0.7777777910232544
1,32,1,True,0.25,1.045643925666809,0.7222222089767456
2,32,1,True,0.3,0.9770145416259766,0.7222222089767456
3,32,1,False,0.2,1.30601966381073,0.3888888955116272
4,32,1,False,0.25,2.0166521072387695,0.7777777910232544
