name,country,position
MarcusROHDEN19,Sweden,Midfield
OlaTOIVONEN20,Sweden,Forward
JimmyDURMAZ21,Sweden,Midfield
IsaacKiese THELIN22,Sweden,Forward
KristofferNORDFELDT23,Sweden,Goalkeeper
YannSOMMER1,Switzerland,Goalkeeper
StephanLICHTSTEINER2,Switzerland,Defender
FrancoisMOUBANDJE3,Switzerland,Defender
NicoELVEDI4,Switzerland,Defender
ManuelAKANJI5,Switzerland,Defender
MichaelLANG6,Switzerland,Defender
BreelEMBOLO7,Switzerland,Forward
RemoFREULER8,Switzerland,Midfield
HarisSEFEROVIC9,Switzerland,Forward
GranitXHAKA10,Switzerland,Midfield
ValonBEHRAMI11,Switzerland,Midfield
YvonMVOGO12,Switzerland,Goalkeeper
RicardoRODRIGUEZ13,Switzerland,Defender
StevenZUBER14,Switzerland,Midfield
BlerimDZEMAILI15,Switzerland,Midfield
GelsonFERNANDES16,Switzerland,Midfield
DenisZAKARIA17,Switzerland,Midfield
MarioGAVRANOVIC18,Switzerland,Forward
JosipDRMIC19,Switzerland,Forward
JohanDJOUROU20,Switzerland,Defender
RomanBUERKI21,Switzerland,Goalkeeper
FabianSCHAER22,Switzerland,Defender
XherdanSHAQIRI23,Switzerland,Midfield
BENMUSTAPHA Farouk1,Tunisia,Goalkeeper
SyamBEN YOUSSEF2,Tunisia,Defender
YohanBEN ALOUANE3,Tunisia,Defender
MERIAHYassine4,Tunisia,Defender
OussamaHADDADI5,Tunisia,Defender
RamiBEDOUI6,Tunisia,Defender
SaifeddineKHAOUI7,Tunisia,Forward
BENYOUSSEF Fakhreddine8,Tunisia,Forward
AniceBADRI9,Tunisia,Midfield
WahbiKHAZRI10,Tunisia,Forward
DylanBRONN11,Tunisia,Defender
MAALOULAli12,Tunisia,Defender
SASSIFerjani13,Tunisia,Midfield
MohamedBEN AMOR14,Tunisia,Midfield
AhmedKHALIL15,Tunisia,Forward
AymenMATHLOUTHI16,Tunisia,Goalkeeper
EllyesSKHIRI17,Tunisia,Midfield
BassemSRARFI18,Tunisia,Forward
SaberKHALIFA19,Tunisia,Forward
CHAALELIGhaylen20,Tunisia,Forward
HamdiNAGUEZ21,Tunisia,Defender
HASSENMouez22,Tunisia,Goalkeeper
SLITINaim23,Tunisia,Forward
FernandoMUSLERA1,Uruguay,Goalkeeper
JoseGIMENEZ2,Uruguay,Defender
DiegoGODIN3,Uruguay,Defender
GuillermoVARELA4,Uruguay,Defender
CarlosSANCHEZ5,Uruguay,Midfield
RodrigoBENTANCUR6,Uruguay,Midfield
CristianRODRIGUEZ7,Uruguay,Midfield
NahitanNANDEZ8,Uruguay,Midfield
LuisSUAREZ9,Uruguay,Forward
GiorgianDE ARRASCAETA10,Uruguay,Forward
CristhianSTUANI11,Uruguay,Forward
MartinCAMPANA12,Uruguay,Goalkeeper
GastonSILVA13,Uruguay,Defender
LucasTORREIRA14,Uruguay,Midfield
MatiasVECINO15,Uruguay,Midfield
MaximilianoPEREIRA16,Uruguay,Defender
DiegoLAXALT17,Uruguay,Midfield
MaximilianoGOMEZ18,Uruguay,Forward
SebastianCOATES19,Uruguay,Defender
JonathanURRETAVISCAYA20,Uruguay,Forward
EdinsonCAVANI21,Uruguay,Forward
MartinCACERES22,Uruguay,Defender
MartinSILVA23,Uruguay,Goalkeeper
