시가,고가,저가,종가,거래량,거래대금,등락률
6500,6550,6420,6510,16396,106436770,-0.15
15900,16250,15900,16000,5094,81387300,0.0
4090,4125,4050,4090,38300,156200910,0.74
188000,190000,184500,189000,8453,1584338500,2.16
6580,6650,6530,6620,435321,2865607850,1.07
0,0,0,401500,0,0,0.0
156000,156000,156000,156000,2,312000,0.0
78500,78500,76100,76900,18066,1386067300,-0.39
21950,22150,21700,22000,81069,1776756250,0.92
70000,70000,68600,68800,10330,716450000,-1.99
120000,120500,117000,118000,12733,1507493000,0.0
3070,3125,3050,3085,20087,62168345,2.15
29100,29200,29100,29200,228,6654800,1.92
48500,48650,48150,48450,482,23269750,0.1
398500,398500,392000,394000,7909,3117568500,0.25
167500,167500,163500,164000,909,149656500,-0.3
57900,59100,57900,58600,1673,98091000,1.21
800,800,792,796,52596,41818483,0.51
5050,5050,4965,5000,5085,25338375,1.01
58200,58200,56400,57700,57739,3297930400,1.05
48300,50200,48200,49650,483720,23914082950,3.76
93900,95800,93900,95800,31,2948900,-0.21
7750,7840,7720,7820,210341,1637734900,1.03
16350,16700,15900,16200,31662,512244000,-0.31
65700,65800,63300,65700,69089,4453447600,1.55
20550,21000,20250,20650,7920,164262100,0.73
38300,38500,37450,38500,467,17626250,0.26
39200,39700,38900,39650,93958,3688077000,2.99
33750,34300,33750,33900,256,8714950,0.44
28300,29000,28200,28350,996,28546300,0.71
53200,53500,52100,52400,10930,575075600,-0.76
4360,4515,4360,4460,6948,30863435,2.06
5210,5320,5200,5260,7543,39715880,1.15
4650,4750,4650,4735,15543,73062785,1.07
45300,45600,44250,44450,1556,69614300,-1.98
5600,5740,5560,5580,48652,272239020,-0.36
136000,138500,133500,138500,35535,4838852000,4.14
18200,18550,18150,18400,11179,204991200,1.66
13750,14100,13750,13800,79999,1117771650,0.73
38950,39900,38450,39800,162312,6347927500,3.51
29300,29600,28800,29500,257138,7516178350,2.08
3130,3130,3030,3120,957234,2953280190,2.3
25900,25900,25550,25750,41118,1055696000,0.78
34100,34250,33950,34200,1658,56559000,0.29
6450,6480,6400,6450,25024,160837550,0.16
8520,8520,8330,8390,674,5655070,-1.41
3800,3820,3780,3815,9483,36022625,0.93
11300,11400,11150,11400,78033,878666700,1.33
51900,52600,51500,52500,90648,4720765300,1.55
