시가,고가,저가,종가,거래량,거래대금,등락률
6430,6430,6270,6290,64237,406115230,-2.48
15950,16400,15400,15800,20199,316173250,-0.63
4115,4190,3995,4005,182925,742184945,-3.38
190500,193000,184500,189000,24361,4597804500,-2.07
6830,6840,6650,6720,861018,5787271310,-1.47
414500,414500,391000,409500,383,154443000,0.12
157000,157000,155000,156500,42,6561000,-1.26
76300,78000,76200,77900,39771,3076149800,1.7
22550,22700,20950,21450,446377,9562599350,-5.51
69800,71000,69400,71000,6959,487827900,1.72
115500,119500,115000,117500,59687,7026839500,3.07
3000,3060,2910,2945,68645,203546315,-2.32
28800,28900,28600,28750,209,6002200,-2.38
49300,49300,48500,49300,704,34489900,0.0
396500,404000,391000,400500,59743,23854043500,2.17
164000,167500,164000,166000,2852,473123000,1.22
60300,60700,56700,57600,20115,1178161000,-3.19
771,787,760,770,287264,220864935,-1.16
5030,5070,4955,4985,17834,89306885,0.61
63700,64000,61100,61800,133630,8277744000,-2.98
48600,49300,47200,48000,544398,26216115200,-0.93
93600,96300,93600,96100,171,16174900,1.16
7800,7860,7630,7710,694745,5380485180,-1.15
15600,15750,15050,15300,96290,1470826550,-1.61
71600,72000,68700,70100,80246,5623292900,-1.68
21700,21700,19950,20150,24870,511108800,-4.73
40850,40850,39100,39650,1293,51640500,-0.88
42300,42400,38500,39200,435558,17250759600,-7.0
35400,35400,33750,34250,2005,69038450,-3.25
29050,29100,27950,28600,1952,55414500,-1.72
52200,54300,51200,52500,33563,1765825400,0.57
4700,4790,4500,4510,230071,1062324620,-6.82
5370,5430,5100,5170,43247,225734450,-3.9
4735,4765,4480,4560,63721,292708615,-2.77
46500,46500,45650,46400,5377,247270950,-0.11
5650,5730,5350,5480,336504,1828056610,-3.01
126500,132000,125000,129000,113044,14545599500,1.18
16600,17200,16550,16700,30590,515909700,0.0
12950,13100,12650,13100,214691,2763819750,1.16
41100,41200,40000,40600,204840,8280073800,-0.73
31900,31900,28300,28850,2298568,66789313700,-8.41
3195,3385,3115,3140,3735505,12141782215,-2.79
26200,26300,25500,25900,139001,3587170850,-0.96
35300,35550,34600,35250,3170,110916750,-0.14
6630,6630,6430,6540,59033,384120550,-1.21
8760,8760,8480,8610,802,6881630,0.23
3815,3820,3620,3700,50914,187664265,-3.01
11450,11500,11050,11150,259751,2909529050,-3.04
58000,58000,54700,55500,346028,19250355600,-4.31
7050,7060,6820,6900,14749,101733770,-2.13
9520,10100,9130,9210,2062218,20049325250,-1.81
24150,24350,23150,23650,2052977,48640564650,-1.46
9850,9930,9130,9350,697967,6540574890,-4.3
700,706,670,671,308604,211116600,-4.01
7410,7440,7150,7190,333073,2408611310,-3.36
12550,12650,12350,12500,11844,148130750,0.0
22250,23250,22050,23100,110170,2513106300,4.76
71100,71500,71100,71400,61,4344100,-0.56
36300,36300,35750,35750,736,26381700,-1.79
3210,3250,3120,3230,28550,90311535,1.73
47950,48400,46400,46950,1216585,57266242846,-2.59
295500,298000,286000,290500,23874,6941780000,-1.02
46800,47400,45050,45600,52213,2387987900,-3.39
4250,4295,4050,4120,99596,411219815,-3.06
5180,5250,4990,5090,218562,1114276725,0.2
4250,4250,3925,4035,58217,233270335,-2.65
2445,2470,2345,2410,1956861,4703611950,-1.43
13050,13350,12750,13000,944667,12326222350,0.0
0,0,0,105500,0,0,0.0
25800,26250,24300,24950,239391,5993911200,-3.11
1495,1520,1410,1450,588591,864830115,-2.68
13900,14250,13700,13800,25655,359137400,-0.72
48400,48400,47450,47500,2104,100428500,-0.94
58900,58900,57000,58500,1368,79044900,-0.68
613,619,598,598,104180,63142077,-2.45
10100,10100,9650,9820,33901,332261880,-1.6
36800,37200,36750,37150,746306,27646014650,1.23
82300,82500,81200,82100,178816,14636470300,0.12
2005,2015,1930,1955,156067,307909245,-1.01
2480,2490,2420,2450,110114,269734130,-1.21
15650,16300,15500,16300,96410,1546781400,5.5
79100,79500,77300,78500,227337,17783833100,-0.13
14350,14700,14250,14500,1364198,19761316550,1.05
686000,690000,663000,673000,46263,31139129000,-1.75
326000,326000,312000,312500,4043,1277013500,-4.14
356500,361000,352000,356000,161015,57494233000,-0.14
