티커,시가,고가,저가,종가,거래량,거래대금,등락률
060310,2775,3365,2765,3055,17987020,57076767455,10.89
095570,6300,6550,6300,6540,26586,172518190,3.97
006840,15750,16300,15750,16150,23693,380365700,2.22
054620,7910,8050,7500,7860,148839,1147457300,-0.51
265520,16300,16850,16050,16750,68916,1142925900,3.72
211270,10700,11050,10600,11000,241496,2618553100,2.8
027410,4035,4175,4020,4150,249776,1026270580,3.62
282330,194000,194000,187000,189500,29402,5586136500,0.26
032790,0,0,0,4075,0,0,0.0
138930,6820,6830,6680,6820,789830,5333862840,1.49
001460,409500,415000,402500,406500,164,67010000,-0.73
001465,155500,156000,155500,156000,41,6388500,-0.32
013720,1260,1320,1250,1280,375274,483343830,1.99
001040,78800,80000,78100,79400,28099,2229898500,1.93
079160,21450,22200,21450,22200,236795,5180756100,3.5
035760,92400,93400,91500,93000,137275,12672239900,1.31
311690,26900,27200,26500,26950,4189,112324950,1.32
00104K,70300,72100,70300,71700,8709,623387200,0.99
000120,118500,122000,118000,121500,45775,5503764000,3.4
011150,2945,3095,2945,3095,82998,253704555,5.09
011155,28500,29050,28500,28950,20,572400,0.7
001045,49300,49750,49250,49750,649,32106750,0.91
097950,401500,401500,387500,397500,35560,14069943500,-0.75
097955,164500,168000,164500,167000,1780,296289000,0.6
051500,39350,39500,38500,38850,60744,2355866500,-1.65
058820,2500,2605,2480,2600,527738,1353176465,6.56
023460,1765,1835,1765,1815,14662,26411315,1.4
056730,0,0,0,3100,0,0,0.0
065770,1880,2055,1880,1995,161784,322026100,3.91
083660,1385,1455,1385,1435,20681,29623275,1.06
000590,57100,59000,56800,57300,7690,444939300,-0.52
012030,770,792,770,792,220335,172883829,2.86
404950,2115,2115,2100,2110,2519,5302850,0.0
367340,2140,2140,2110,2135,5149,10915715,-0.23
367360,2140,2165,2135,2155,20046,42899170,0.94
016610,5010,5060,5000,5060,31498,158230000,1.5
005830,62700,62700,60600,62000,107109,6610958700,0.32
000990,48400,49500,48250,48800,654290,31910518300,1.67
000995,95300,99000,95100,97500,114,11132800,1.46
139130,7770,7880,7720,7880,279779,2178198960,2.2
001530,15450,16150,15350,15800,107860,1702474500,3.27
000210,70400,71100,68300,69900,80544,5592960400,-0.29
001880,20400,20750,20200,20700,10878,222885550,2.73
000215,39850,39850,38850,39050,4040,158462700,-1.51
375500,39500,40500,39200,40300,231534,9262349900,2.81
37550L,33900,34850,33900,34250,3101,106638300,0.0
37550K,28100,28650,28100,28600,2527,72201700,0.0
068790,4745,4930,4745,4930,39967,194231770,3.46
007340,52500,54600,52500,54400,18929,1012505200,3.62
004840,4510,4640,4440,4490,45939,208930625,-0.44
241520,3940,4100,3900,4070,90689,365532730,2.78
155660,5170,5390,5080,5300,67574,352641700,2.51
069730,4560,4790,4560,4770,46957,222195945,4.61
017940,46400,46400,45850,46300,1611,74262750,-0.22
245620,2920,3490,2920,3260,15250207,51066942090,11.84
037370,8740,9200,8740,9070,39720,357311660,3.19
278990,0,0,0,5650,0,0,0.0
365550,5500,5770,5420,5750,203816,1133906610,4.93
050120,3745,3895,3745,3845,28286,108648840,3.22
084180,1365,1425,1365,1425,215944,303750620,2.52
383220,128500,137500,128000,134500,98780,13256193500,4.26
007700,16700,19250,16700,18300,94086,1705333400,9.58
214270,4100,4310,4100,4305,195608,827173610,6.56
130500,4160,4575,4135,4305,1610731,7070250895,1.89
114090,13000,14200,13000,13600,453341,6231618700,3.82
900290,1265,1295,1250,1285,150969,192045410,1.58
078930,40850,41050,40200,40950,209505,8505813800,0.86
083450,20950,21750,20700,21400,51320,1091408050,3.38
006360,29050,30050,28850,30050,948656,28123226100,4.16
001250,3150,3295,3125,3160,4203192,13377802865,0.64
007070,25950,26150,25750,25850,83355,2161495950,-0.19
078935,35000,35200,34700,35200,1754,61220250,-0.14
297890,12450,13050,12350,13000,49472,633018750,5.26
078150,1745,1830,1740,1795,167761,300868495,2.87
012630,6490,6570,6490,6530,57385,374041800,-0.15
039570,8450,8620,8400,8580,8263,69989390,-0.35
089470,3710,3840,3695,3810,13811,51896965,2.97
294870,11200,11450,11150,11400,203738,2309248300,2.24
267250,55200,55800,53000,54800,387843,21061941900,-1.26
097230,6900,7000,6790,6900,18627,128621710,0.0
195940,38750,39250,38300,39250,530237,20638799500,1.95
028300,36600,36750,35600,36750,578635,21041293600,2.08
003580,9540,9870,9310,9820,1307558,12635513570,6.62
343090,3985,3985,3705,3715,5935,22170525,-1.98
067630,12350,12350,12000,12350,733543,8961374900,1.65
047920,14650,14700,14100,14600,251425,3626090950,0.69
115450,14050,14250,13650,14200,525987,7310457650,2.53
011200,23800,24850,23650,24750,2132434,52073411550,4.65
036640,5890,5980,5720,5930,118350,696993580,1.89
082740,9490,9490,9080,9290,453366,4177857930,-0.64
335870,0,0,0,2445,0,0,0.0
351340,2035,2035,2000,2020,26215,52722340,0.75
388790,0,0,0,2225,0,0,0.0
405350,2275,2275,2250,2260,72328,162888205,0.22
003560,673,706,673,705,252907,176635689,5.07
095340,30300,31100,29500,30500,226531,6916987700,2.18
099520,0,0,0,1285,0,0,0.0
175330,7200,7310,7170,7310,394654,2844526390,1.67
950170,2725,2890,2725,2790,9670,27021405,2.01
234080,12550,13050,12500,13000,21693,280553750,4.0
067290,3615,3775,3615,3760,146908,546939580,4.59
001060,23150,23850,22750,23700,73947,1725943700,2.6
001067,71400,71400,71400,71400,2,142800,0.0
001065,35700,35800,35550,35550,274,9769250,-0.56
096760,3245,3270,3200,3265,22515,73101820,1.08
035900,49750,51100,49400,50200,421130,21128679250,1.31
318000,5500,5650,5450,5640,10081,56084720,4.25
024840,1595,1670,1595,1670,136847,225266180,4.7
105560,47400,47500,46700,47300,1133267,53431145095,0.75
024120,5320,5600,5320,5590,34014,186699460,3.9
002380,291000,302000,288500,300500,24385,7283396500,3.44
021320,6700,6900,6690,6850,26331,179136800,2.85
344820,45600,46150,45350,45700,37178,1697638400,0.22
036670,7560,8050,7560,8030,17903,141023220,4.42
009070,4180,4415,4180,4370,106029,458901925,6.07
009440,5110,5230,4960,5210,266072,1367639200,2.36
112190,3700,3700,3415,3530,3211,11344130,-3.29
119650,3995,4170,3995,4150,22812,93939005,2.85
044180,1025,1080,1020,1050,163255,172372600,1.94
092220,2415,2495,2415,2480,1318241,3246664745,2.9
151860,15200,15450,14850,15000,2069564,31257284000,0.0
046440,6730,6970,6720,6920,236200,1616793010,3.13
016380,13050,13550,12900,13350,910750,12049651450,2.69
016385,0,0,0,105500,0,0,0.0
035600,12550,13150,12500,13000,258469,3322955150,4.42
001390,24950,25750,24950,25550,181816,4603925450,2.4
226360,989,1025,913,935,30756281,29579405417,-2.91
111870,749,760,728,748,2267505,1680519332,-0.13
033180,1450,1510,1450,1485,347784,514569225,2.41
060720,17750,18200,17550,18100,230121,4128282100,3.13
001940,13900,14100,13850,14000,7212,100911800,1.45
122450,7470,7710,7440,7700,66516,508270430,2.67
052900,1300,1355,1300,1350,149241,199825235,3.85
058400,990,1015,984,1010,288443,289615895,2.02
114450,4620,5350,4620,5050,2480478,12610772870,9.43
025000,47750,48500,47600,48200,1290,61805850,1.47
092230,58200,59100,58000,58800,459,26864200,0.51
000040,595,624,595,622,139467,86024637,4.01
044450,10000,10100,9830,10100,40195,400430010,2.85
030200,37450,37800,37200,37400,874600,32755316050,0.67
033780,82500,82500,81100,81700,293737,23953859500,-0.49
058850,1955,2020,1955,2015,261919,523184470,3.07
058860,2450,2555,2450,2555,176904,447074195,4.29
060370,5960,6230,5930,6200,747496,4572634720,4.91
093050,16300,16500,16000,16000,25425,411442800,-1.84
003550,79300,80900,78600,80800,262482,21057114100,2.93
034220,14400,15050,14400,14950,1797373,26725123950,3.1
051900,677000,697000,675000,688000,43534,29956758000,2.23
051905,312500,322000,312500,321000,4373,1391102500,2.72
373220,356500,362500,356000,361500,219192,78856116000,1.54
003555,61500,62900,61200,62300,6838,426735200,1.96
032640,13200,13200,12950,13050,552977,7213891350,-0.76
011070,335000,355500,334500,351500,308557,107039284000,7.16
066570,91000,96000,90700,95500,1348997,127292462600,5.88
066575,43500,45850,43500,45800,36668,1657589700,5.29
037560,5210,5330,5170,5250,380735,2002418590,1.94
051910,508000,522000,505000,512000,228594,117455699000,2.4
051915,240000,245000,239000,241500,12009,2921630000,1.05
079550,71300,71900,68300,71200,206592,14488778000,0.28
006260,61600,62700,59600,62100,171677,10455279800,1.47
010120,56600,59900,54100,59100,386180,21956103900,5.54
000680,2505,2625,2505,2595,30940,79546745,2.77
229640,6800,7070,6770,7030,89401,620633630,3.38
108320,93600,95300,92600,94600,126273,11895717100,2.6
001120,31600,31900,30350,31900,348113,10904977100,0.79
108670,40500,41800,40500,41700,20257,837826550,1.96
108675,19550,20450,19550,20050,1992,39787000,0.25
383800,9020,9110,9010,9040,87792,793930650,0.0
38380K,11800,12300,11800,12250,2422,29236700,2.94
023150,8190,8380,8080,8360,20455,169780840,2.08
035420,238500,248500,237000,243000,654854,159394015200,3.4
160550,6390,6560,6270,6510,119498,776866390,2.36
053290,5000,5270,5000,5250,95663,497064920,5.21
181710,28500,29600,28500,29550,50664,1488527450,4.23
104200,8330,8780,8330,8740,104031,897620380,5.05
060250,12450,13000,12400,12750,240012,3057242900,3.24
400760,4505,4565,4485,4555,72400,326968710,0.66
005940,9170,9430,9170,9350,752977,6996860000,1.19
005945,9200,9330,9200,9320,19289,178848140,0.98
338100,4575,4635,4550,4620,22234,102133970,0.98
034310,15300,15300,14950,15150,46827,706137900,-0.66
030190,14250,14850,14200,14600,113502,1650647100,2.1
008260,4250,4645,4215,4590,341200,1519467025,9.81
004250,7500,7790,7380,7750,542799,4159760390,4.03
004255,4270,4440,4225,4430,46713,202911685,4.36
010060,135500,138500,132000,137500,403898,54941037500,1.48
178920,32400,34200,32050,33700,239555,8007387300,5.31
024940,4530,4745,4525,4720,82804,386374030,3.74
005490,233000,239000,231000,238500,287694,67932748000,3.7
218410,20750,22150,20750,22100,124238,2698318750,7.28
327260,10500,11200,10500,11150,27281,299990800,6.19
091340,4080,4215,4055,4215,18521,76841700,3.95
010950,102500,103500,100500,102000,314433,31994546000,0.49
010955,61400,62000,60400,62000,7970,489800100,1.31
019550,1525,1575,1500,1550,1695776,2615350245,1.97
950110,4090,4340,4090,4280,1722,7342155,0.59
034120,40800,42150,40800,40950,40495,1667550550,0.24
046140,6150,6150,6020,6110,16693,101564620,-0.16
151910,3745,3785,3600,3775,237399,885412280,4.86
036120,3170,3205,3010,3190,765533,2403216580,0.0
099220,2630,2740,2575,2700,5487165,14716942580,4.65
036540,5000,5150,4925,5120,878688,4461970375,4.17
255220,1530,1580,1520,1540,191453,293012120,0.65
040610,1835,1920,1835,1900,98556,186059485,3.54
049470,874,1010,874,927,1475811,1411797596,5.94
184230,797,910,795,834,1143204,980300813,4.64
005090,34850,35400,34750,35200,21566,755611250,1.0
016250,43700,44600,42350,42900,15799,677570350,-1.61
001380,1275,1330,1275,1330,80562,105204645,3.5
004060,525,547,525,546,611869,329577478,3.61
001770,27050,28400,27050,28400,15452,428291800,5.19
002360,998,1005,983,1000,2155346,2148966715,0.91
009160,6120,6250,6120,6210,136615,846057430,0.98
123700,3380,3450,3330,3450,7543,25656035,2.07
025530,2830,2895,2815,2885,76899,219244810,0.52
034730,211500,217000,210000,216500,93468,20063281500,3.34
337450,3280,3490,3020,3100,3447005,11188166400,-3.73
340350,2110,2120,2090,2090,233622,489776955,-0.24
011790,128000,132500,126500,131500,252812,33037352000,2.73
018670,116000,118000,116000,117500,3882,454309000,-0.42
001740,4220,4265,4195,4250,153202,649134105,1.55
001745,58400,60100,58400,59000,758,44812600,1.37
006120,33150,35350,33150,34950,48019,1662294150,4.95
006125,28900,33000,28900,29700,16155,498686900,3.13
210980,24700,25200,24700,25050,12781,319044950,1.21
068400,8050,8270,8050,8160,56024,457962430,0.25
395400,5500,5650,5440,5580,553399,3060396560,1.64
302440,99600,124500,99600,122500,3966679,460719790500,24.87
326030,72300,78400,71700,78000,223413,16994834700,7.88
402340,38450,39550,38050,39550,420734,16433084350,3.53
260870,48050,48150,47350,47850,2479,118212450,0.42
361610,86900,96000,86500,95500,473850,43877347200,10.53
03473K,186500,188000,183500,188000,798,148380000,2.17
096770,179000,182500,176000,180500,453030,81445919500,1.69
096775,111000,113000,110500,112500,1726,193650500,1.35
001510,708,726,708,724,917895,661900975,1.97
001515,2940,3110,2940,3035,17005,52000035,2.19
285130,89600,98700,89600,98200,159354,15365809600,9.48
28513K,46800,56800,46800,53200,107312,5716043950,12.12
017670,53800,54500,53700,54200,507256,27488666600,1.12
000660,90400,93400,90400,92500,3560085,328065708900,3.82
048550,2980,3175,2980,3170,811321,2528781355,6.02
063440,1995,2075,1995,2060,282836,580321025,3.26
064960,40550,41200,40050,40750,43573,1770499900,0.49
100840,15900,16350,15750,15950,59056,945697550,0.31
003570,6710,6860,6710,6800,19662,133264440,1.49
036530,15250,15600,15150,15600,2047,31448600,2.3
005610,82000,83500,79300,80900,26916,2172692600,0.0
011810,3300,3375,3285,3340,19589,65041080,1.67
077970,13600,13650,13050,13650,104873,1402954050,0.0
071970,4070,4240,4070,4180,42563,178312755,1.7
002820,4215,4460,4215,4450,5894,25633045,2.3
289080,2460,2610,2460,2605,218780,559299750,6.98
084870,1860,1935,1860,1890,12157,22876225,1.61
002710,11750,12200,11600,12150,379214,4555148450,3.85
089230,430,518,430,472,4135918,2010078638,7.52
