테마,종목1,종목2,종목코드1,종목코드2
게임,KH 전자,크래프톤,111870,259960
배합사료·첨가제,우성,현대사료,006980,016790
건자재 - 철근,한국철강,KISCO홀딩스,104700,001940
그래핀(Graphene),시노펙스,상보,025320,027580
황사·미세먼지 - 공기정화,파세코,코웨이,037070,021240
수소차 - 기타부품,아이에이,한온시스템,038880,018880
철강 주요업체,KG스틸,동국제강,016380,001230
현대·기아차 부품주,한온시스템,금호에이치티,018880,214330
해운,현대글로비스,HMM,086280,011200
화장품 OEM·ODM,제닉,한국콜마,123330,161890
NFT(대체불가능토큰),에이스토리,에스엠,241840,041510
미디어 - 음원서비스,TJ미디어,NHN벅스,032540,104200
5G·6G,오파스넷,SK텔레콤,173130,017670
바이오인식(생체인식),KH 전자,라온시큐어,111870,042510
줄기세포치료제,차바이오텍,파미셀,085660,005690
디지털자산·블록체인,버킷스튜디오,인바이오젠,066410,101140
코로나19(혈장치료/혈장치료제),시노펙스,녹십자,025320,006280
제대혈,지씨셀,녹십자,144510,006280
화장품 브랜드,HK이노엔,세화피앤씨,195940,252500
블록체인,케이사인,라온시큐어,192250,042510
육계주,하림,마니커,136480,027740
금강산 관광,아난티,국순당,025980,043650
페인트,노루홀딩스,KCC,000320,002380
음식료 - 주류,국순당,제주맥주,043650,276730
컨택센터(콜센터),이씨에스,한일네트웍스,067010,046110
삼성페이,케이사인,라온시큐어,192250,042510
OLED - 장비,탑엔지니어링,엘오티베큠,065130,083310
K-뉴딜지수(인터넷),카카오페이,카카오,377300,035720
LED,파커스,에스엘바이오닉스,065690,214310
대두,샘표식품,풀무원,248170,017810
전기자전거,알톤스포츠,파워로직스,123750,047310
항공사,아시아나항공,진에어,020560,272450
폴더블폰 - 소재·부품,상보,비에이치,027580,090460
황사·미세먼지 - 마스크,오공,락앤락,045060,115390
탄소배출권 (온실가스),후성,에코프로,093370,086520
종합상사,SK네트웍스,삼성물산,001740,028260
메타버스 (VR·AR),위지윅스튜디오,엔비티,299900,236810
재택근무/스마트워크,오파스넷,알서포트,173130,131370
건자재 - 시멘트·레미콘·콘크리트,유니온,모헨즈,000910,006920
교육/온라인 교육,골드앤에스,메가엠디,035290,133750
바이오 - 이중항체,한미약품,종근당,128940,185750
스마트그리드,일진전기,피앤씨테크,103590,237750
반도체 - 전공정 소재,에프에스티,솔브레인홀딩스,036810,036830
수소차 - 인프라,제이엔케이히터,효성첨단소재,126880,298050
MLCC,알에프세미,코스모신소재,096610,005070
음식료업종,SPC삼립,동서,005610,026960
중소형 건설사,서한,범양건영,011370,002410
전기차 - 배터리 소재·부품,에코프로비엠,후성,247540,093370
전자결제(전자화폐),쿠콘,카카오페이,294570,377300
건자재 - 거푸집,금강공업,덕신하우징,014280,090410
치아 치료(임플란트 등),덴티스,나이벡,261200,138610
싸이월드 관련주,한컴MDS,NHN벅스,086960,104200
의류 소재,경방,태광산업,000050,003240
수소차 - 연료전지,평화홀딩스,시노펙스,010770,025320
비철금속 - 알루미늄,조일알미늄,DI동일,018470,001530
양돈주,선진,팜스코,136490,036580
구제역/광우병 수혜,우진비앤지,우성,018620,006980
전기차 - 부품,한온시스템,LG전자,018880,066570
택배와 종합물류,CJ대한통운,현대글로비스,000120,086280
자동차 연비개선 - 경량화,에코플라스틱,일지테크,038110,019540
클라우드 컴퓨팅,케이사인,SK텔레콤,192250,017670
철강 중소형업체,한국특강,만호제강,007280,001080
폐기물처리,KC그린홀딩스,코엔텍,009440,029960
은행,카카오뱅크,푸른저축은행,323410,007330
"주류업(주정, 에탄올 등)",MH에탄올,한국알콜,023150,017890
화학 - NCC,한국알콜,태광산업,017890,003240
콜드체인,지씨셀,태경케미컬,144510,006890
신용정보 (신용평가),NICE,한국기업평가,034310,034950
강관,휴스틸,세아제강지주,005010,003030
건자재 - 기타,와토스코리아,동화기업,079000,025900
RFID(NFC 등),유비벨록스,삼성전자,089850,005930
토스 관련주,다올투자증권,한화투자증권,030210,003530
화장품 원재료 및 부자재,펌텍코리아,대봉엘에스,251970,078140
국내 상장한 중국주,골든센츄리,씨케이에이치,900280,900120
남북경협 - DMZ,코리아에스이,자연과환경,101670,043910
키즈,캐리소프트,손오공,317530,066910
SI(시스템통합),오파스넷,정원엔시스,173130,045510
부동산 - 개발·신탁·리츠,리파인,미래에셋맵스리츠,377450,357250
반도체 - 후공정 장비,고영,디아이,098460,003160
손해보험,메리츠화재,흥국화재,000060,000540
지능형 로봇·인공지능(AI),아진엑스텍,알에프세미,059120,096610
편의점,이마트,롯데지주,139480,004990
디지털 키오스크,파인디지털,에스원,038950,012750
벤처캐피탈(VC),DSC인베스트먼트,미래에셋벤처투자,241520,100790
비철금속 - 구리,LS ELECTRIC,풍산홀딩스,010120,005810
유아용품,매일유업,남양유업,267980,003920
카메라모듈/부품,캠시스,퓨런티어,050110,370090
