티커,시가,고가,저가,종가,거래량,거래대금,등락률
049770,156000,158500,154500,157500,6023,943780500,0.96
013120,4070,4155,4030,4070,57138,234625735,-0.49
018500,845,853,807,817,104385,86587626,-3.31
006040,217000,217500,210500,214000,4304,914198000,-1.15
030720,8780,8990,8580,8730,46760,409449640,-0.57
014820,55400,55400,53000,53200,20125,1090907100,-2.56
014825,31300,31450,31000,31000,208,6473500,-0.8
163560,8750,9240,8150,8360,6043088,52622331230,3.72
109860,17100,17450,17000,17100,26022,445106250,-1.16
032960,10600,10600,10150,10300,21818,224893650,-2.83
004890,169500,171000,168500,169500,3256,552437000,0.0
002690,3235,3235,3015,3135,122253,383036610,-2.79
023790,2590,2620,2450,2495,65329,163126150,-5.13
005290,32350,32350,30850,31500,536294,16895197450,-1.41
025900,61000,62000,58900,60000,85090,5092407700,-0.66
000020,9590,9590,9250,9360,73456,690091670,-2.4
000150,70200,70400,66600,67900,64264,4346100500,-2.58
000157,91800,91800,88800,88900,1869,167394900,-3.16
241560,29800,30000,28200,28700,247834,7135660550,-2.21
034020,19600,19750,18100,18350,6645916,124057305400,-5.41
000155,47700,47700,44600,45150,2868,130692850,-4.04
131970,29500,30100,28550,29350,162864,4728787150,-0.51
336260,29250,29650,28250,28750,223075,6424527500,-1.37
33626K,9410,9530,9010,9180,20863,194184440,-2.44
33626L,12150,12400,11750,11850,8883,106229500,-3.27
016740,2730,2800,2620,2695,106235,284021225,-1.1
073190,2260,2260,2110,2220,13980,30679715,-2.63
176750,6930,7000,6870,6970,1430,9919920,0.29
030350,1765,1770,1585,1720,843533,1408462400,-2.55
203650,3000,3035,2880,2990,134049,396783940,1.01
223250,13550,14100,13200,13400,33265,453446000,-1.11
060570,3140,3160,3045,3085,25919,80164910,-2.37
192650,9560,9840,9430,9570,368293,3565917560,0.1
217620,1530,1560,1410,1435,331784,489271930,-4.33
016670,0,0,0,973,0,0,0.0
187870,16300,16300,15400,15850,11396,178003350,-1.55
066670,5480,5620,5240,5400,98672,530412150,-1.46
024090,22400,22600,21950,22350,43766,975787900,0.45
003160,5800,5860,5450,5690,161728,902965340,0.0
092200,4105,4260,3980,4030,81068,325774840,-1.83
110990,6500,6570,6390,6500,19368,125138420,-1.07
078590,0,0,0,2380,0,0,0.0
263690,8390,8450,8230,8390,6407,53007960,0.12
214680,1440,1475,1400,1420,537046,767762445,0.0
377190,4635,4660,4385,4540,373296,1663540555,-1.63
263720,20050,20900,19800,20100,43007,869659550,4.15
376300,31300,32550,30200,31300,124903,3932179050,0.0
141020,0,0,0,1335,0,0,0.0
109740,4910,5010,4855,4960,33549,165231150,-0.4
196490,4100,4100,3740,3765,214191,818276950,-6.92
066900,3175,3175,3035,3150,39728,122266950,-2.17
180400,0,0,0,7740,0,0,0.0
127120,4000,4000,3620,3880,66787,255250955,-0.77
092070,13600,13900,13250,13500,137700,1851412700,-1.46
039840,25700,25800,24950,25100,39949,1009831950,-1.76
013570,6750,6870,6280,6430,242089,1574983420,-4.17
219550,1630,1690,1385,1445,5386229,8039509835,-13.21
310870,1585,1585,1365,1420,180955,261728805,-10.41
210540,12750,12800,11900,12100,69913,853324800,-3.97
104460,37000,37550,36400,37400,23563,871209250,0.27
079810,6500,6680,6280,6320,73447,465940070,-2.32
113810,1190,1190,1065,1080,1762581,1944731695,-10.37
043360,3560,3615,3400,3590,36146,128279035,-0.69
197140,4140,4335,3900,4010,346302,1420971365,-1.84
068930,7130,7130,6600,6890,529463,3583819860,-3.37
033130,2110,2130,2045,2080,122242,253188710,-0.72
105740,9480,9660,9140,9300,161637,1525701190,-1.9
263020,2850,2870,2695,2785,58635,161691430,-2.96
290550,9640,9640,9280,9420,30953,290596210,-0.63
187220,4505,4660,4260,4540,35782,157838310,-0.11
163430,0,0,0,7620,0,0,0.0
131180,1530,1570,1475,1520,80273,121999675,-0.33
315640,7250,7400,6970,7090,23255,165533820,-1.94
317120,6010,6100,5770,5940,53249,313356680,-1.0
042510,2625,2705,2540,2705,296655,781757465,3.44
232680,14200,14200,12850,13250,89772,1202679050,-4.68
300120,14000,14200,13100,13200,149306,2013788800,-6.05
171120,7650,7680,7250,7510,13467,99558810,-1.83
069540,3710,3850,3550,3830,82367,302525735,3.23
285770,0,0,0,1390,0,0,0.0
347700,5060,5530,4950,5250,87738,455752560,4.58
214260,38100,38100,35500,36750,21588,791251800,-3.67
403360,0,0,0,13000,0,0,0.0
115390,7490,7650,7380,7640,69428,517802160,2.0
200350,14400,15150,14400,15000,34791,519015000,3.81
171010,5930,6000,5600,5780,77300,445700090,-3.02
084650,5910,6810,5910,6620,10860435,70769269670,14.73
217500,3365,3390,3180,3300,259548,848761700,-1.64
092590,2300,2550,2290,2550,1504,3444950,-5.2
141080,41950,42650,40000,42350,223420,9277780900,1.19
060300,0,0,0,1830,0,0,0.0
038390,18000,18050,17350,17450,5124,90629750,-1.13
294140,6260,6290,5810,6080,699996,4274071730,-3.95
228670,21000,21300,19050,19700,256876,5096766100,-6.64
228850,9190,9190,8760,8880,14034,125045630,-2.31
412350,14900,15000,12800,13200,1418289,19326650550,-11.41
281740,4185,4230,3995,4090,369460,1513046925,-2.27
277810,24300,24350,22600,23250,219488,5096258350,-3.33
179720,0,0,0,5600,0,0,0.0
215100,7010,7100,6630,6790,228747,1564346620,-3.0
090360,18000,18300,17100,17450,56862,996719300,-3.06
238500,800,800,710,779,4174,3243474,4.7
108490,17650,17950,16600,16950,168382,2889904250,-4.24
900260,305,305,292,296,1591383,473189288,-1.66
223220,598,598,598,598,1,598,1.53
067730,4850,4920,4475,4565,61085,283901880,-3.59
071280,5990,6040,5600,5880,152765,885902830,-1.67
032350,11700,11800,11300,11750,373599,4315919100,0.43
089860,37150,37600,36850,37200,42399,1575443250,0.13
330590,5390,5390,5230,5270,248797,1310140150,-1.13
000400,1715,1730,1675,1700,240000,407922160,-1.45
023530,101000,103500,100500,103500,75660,7740867500,2.99
004000,67300,68400,65100,66300,59953,3949840400,-1.49
286940,26400,26400,25450,25800,26961,697362650,-1.53
280360,120000,120000,116000,118000,8469,992755500,-0.42
004990,37950,37950,36750,37350,170173,6352243200,-0.66
00499K,47650,47650,45800,46900,423,19598700,0.32
005300,173500,175000,164500,170000,40412,6835743500,-1.45
005305,72200,72200,70900,71300,574,41053700,-0.7
011170,184500,186000,179500,181500,54257,9871233000,-1.63
002270,0,0,0,311000,0,0,0.0
071840,16400,16550,16000,16150,20377,330001050,-2.12
038060,1090,1120,1060,1075,81476,89180665,-1.38
162120,5100,5100,5050,5050,2,10150,-0.98
