테마,종목1,종목2,종목코드1,종목코드2,어제종가1,그제종가1,어제종가2,그제종가2
음성인식,파인디지털,카카오,038950,035720,5610,5770,72000,68100
의류 OEM·ODM,국동,한세예스24홀딩스,005320,016450,1915,1805,5690,5570
건강기능식품,네오크레마,HK이노엔,311390,195940,12250,11800,39250,38500
전자담배,알에프세미,KT&G,096610,033780,3055,2875,81700,82100
메르스 코로나 바이러스,우진비앤지,바이오니아,018620,064550,2170,2145,26150,24300
IT보안(정보),케이사인,라온시큐어,192250,042510,1715,1720,2695,2705
음식료 - 밀가루,CJ제일제당,삼양사,097950,145990,397500,400500,40800,40050
렌터카·중고차,롯데렌탈,SK렌터카,089860,068400,38500,37200,8160,8140
희토류,유니온머티리얼,유니온,047400,000910,2285,2325,6080,6210
손해보험,메리츠화재,흥국화재,000060,000540,34750,34050,3205,3210
수술용 로봇,고영,큐렉소,098460,060280,13550,13350,7340,7180
MVNO(가상이동통신망사업자),세종텔레콤,대성홀딩스,036630,016710,748,740,76400,74800
편의점,이마트,롯데지주,139480,004990,107000,106000,37050,37350
NI(네트워크통합),오파스넷,누리플렉스,173130,040160,6720,6440,6630,6510
폭염,배럴,롯데푸드,267790,002270,7760,7600,311000,311000
mRNA(메신저 리보핵산),에스티팜,나이벡,237690,138610,92500,91800,24000,23650
면세점,신세계,현대백화점,004170,069960,219000,217500,69800,69300
전력설비,이화전기,일진전기,024810,103590,1250,1330,7560,7480
반도체 - 후공정 소재,샘씨엔에스,아이텍,252990,119830,4930,4810,8330,8220
반도체 - 전공정 장비,엘오티베큠,에프에스티,083310,036810,11450,11400,14750,14250
참치 원양어업,사조오양,동원수산,006090,030720,9190,9060,9010,8730
시스템반도체 (비메모리 반도체),아이에이,에프에스티,038880,036810,810,802,14750,14250
인터넷은행,알서포트,라온시큐어,131370,042510,4545,4295,2695,2705
자율주행차,캠시스,아이에이,050110,038880,2225,2190,810,802
클라우드 컴퓨팅,알서포트,안랩,131370,053800,4545,4295,88800,85500
결제서비스,카카오페이,코나아이,377300,052400,63900,60800,17200,16250
골판지,신대양제지,한국수출포장,016590,002200,86800,86800,22750,22100
생명보험,동양생명,한화생명,082640,088350,5720,5690,2250,2240
OLED - 소재·부품,풍원정밀,신화인터텍,371950,056700,14450,14100,3890,3920
교육,메가엠디,정상제이엘에스,133750,040420,2560,2470,7410,7410
전기차 - 인프라,한국전력,피에스텍,015760,002230,22950,22600,4220,4190
전선,일진전기,대원전선,103590,006340,7560,7480,1470,1420
마켓컬리 관련주,지어소프트,이씨에스,051160,067010,11950,11200,3640,3440
인쇄회로기판(PCB),시노펙스,비에이치,025320,090460,3340,3075,25450,25000
폐배터리,에코프로비엠,엘앤에프,247540,066970,120400,111800,212200,200800
개성공단,코데즈컴바인,태광산업,047770,003240,1795,1730,914000,918000
"구충제(펜벤다졸, 이버멕틴 등)",신풍제약,대성미생물,019170,036480,23100,21850,12250,11900
게임,KH 전자,크래프톤,111870,259960,748,749,226000,222500
배합사료·첨가제,우성,현대사료,006980,016790,24500,23950,30950,31400
건자재 - 철근,한국철강,KISCO홀딩스,104700,001940,6550,6530,14000,13800
그래핀(Graphene),시노펙스,상보,025320,027580,3340,3075,1505,1455
황사·미세먼지 - 공기정화,파세코,코웨이,037070,021240,17650,18000,63500,63500
수소차 - 기타부품,아이에이,한온시스템,038880,018880,810,802,9920,10200
철강 주요업체,KG스틸,동국제강,016380,001230,13350,13000,13350,12850
현대·기아차 부품주,한온시스템,금호에이치티,018880,214330,9920,10200,1270,1230
해운,현대글로비스,HMM,086280,011200,182500,183000,24750,23650
화장품 OEM·ODM,제닉,한국콜마,123330,161890,3920,3760,37300,36800
NFT(대체불가능토큰),에이스토리,에스엠,241840,041510,20000,18600,64800,64600
미디어 - 음원서비스,TJ미디어,NHN벅스,032540,104200,5890,5860,8740,8320
5G·6G,오파스넷,SK텔레콤,173130,017670,6720,6440,54200,53600
바이오인식(생체인식),KH 전자,라온시큐어,111870,042510,748,749,2695,2705
줄기세포치료제,차바이오텍,파미셀,085660,005690,15050,14150,11550,10900
디지털자산·블록체인,버킷스튜디오,인바이오젠,066410,101140,1750,1700,1670,1585
코로나19(혈장치료/혈장치료제),시노펙스,녹십자,025320,006280,3340,3075,167500,163000
제대혈,지씨셀,녹십자,144510,006280,58500,53700,167500,163000
화장품 브랜드,HK이노엔,세화피앤씨,195940,252500,39250,38500,1315,1255
블록체인,케이사인,라온시큐어,192250,042510,1715,1720,2695,2705
육계주,하림,마니커,136480,027740,3000,2900,1550,1505
금강산 관광,아난티,국순당,025980,043650,6840,6520,8690,8500
페인트,노루홀딩스,KCC,000320,002380,10900,10650,300500,290500
음식료 - 주류,국순당,제주맥주,043650,276730,8690,8500,2110,2030
컨택센터(콜센터),이씨에스,한일네트웍스,067010,046110,3640,3440,12050,12000
삼성페이,케이사인,라온시큐어,192250,042510,1715,1720,2695,2705
OLED - 장비,탑엔지니어링,엘오티베큠,065130,083310,5460,5220,11450,11400
K-뉴딜지수(인터넷),카카오페이,카카오,377300,035720,63900,60800,72000,68100
LED,파커스,에스엘바이오닉스,065690,214310,2565,2550,3515,3525
대두,샘표식품,풀무원,248170,017810,36250,35550,12450,12300
전기자전거,알톤스포츠,파워로직스,123750,047310,3205,3205,5580,5450
항공사,아시아나항공,진에어,020560,272450,15350,15250,14100,13450
폴더블폰 - 소재·부품,상보,비에이치,027580,090460,1505,1455,25450,25000
황사·미세먼지 - 마스크,오공,락앤락,045060,115390,3635,3600,7790,7640
탄소배출권 (온실가스),후성,에코프로,093370,086520,18300,17650,72400,67400
종합상사,SK네트웍스,삼성물산,001740,028260,4250,4185,122000,121500
메타버스 (VR·AR),위지윅스튜디오,엔비티,299900,236810,21550,21000,6870,6620
재택근무/스마트워크,오파스넷,알서포트,173130,131370,6720,6440,4545,4295
건자재 - 시멘트·레미콘·콘크리트,유니온,모헨즈,000910,006920,6080,6210,3930,3830
교육/온라인 교육,골드앤에스,메가엠디,035290,133750,1850,1750,2560,2470
