시가,고가,저가,종가,거래량,거래대금,등락률
28900,33000,28900,29700,16155,498686900,3.13
24700,25200,24700,25050,12781,319044950,1.21
8050,8270,8050,8160,56024,457962430,0.25
5500,5650,5440,5580,553399,3060396560,1.64
99600,124500,99600,122500,3966679,460719790500,24.87
72300,78400,71700,78000,223413,16994834700,7.88
38450,39550,38050,39550,420734,16433084350,3.53
86900,96000,86500,95500,473850,43877347200,10.53
186500,188000,183500,188000,798,148380000,2.17
179000,182500,176000,180500,453030,81445919500,1.69
111000,113000,110500,112500,1726,193650500,1.35
708,726,708,724,917895,661900975,1.97
2940,3110,2940,3035,17005,52000035,2.19
89600,98700,89600,98200,159354,15365809600,9.48
46800,56800,46800,53200,107312,5716043950,12.12
53800,54500,53700,54200,507256,27488666600,1.12
90400,93400,90400,92500,3560085,328065708900,3.82
40550,41200,40050,40750,43573,1770499900,0.49
15900,16350,15750,15950,59056,945697550,0.31
6710,6860,6710,6800,19662,133264440,1.49
15250,15600,15150,15600,2047,31448600,2.3
82000,83500,79300,80900,26916,2172692600,0.0
3300,3375,3285,3340,19589,65041080,1.67
13600,13650,13050,13650,104873,1402954050,0.0
4070,4240,4070,4180,42563,178312755,1.7
4215,4460,4215,4450,5894,25633045,2.3
1860,1935,1860,1890,12157,22876225,1.61
11750,12200,11600,12150,379214,4555148450,3.85
19700,20200,19600,19800,151021,2994222000,0.76
2490,2550,2435,2515,2584024,6429045430,2.65
3240,3290,3240,3280,10671,34856320,1.23
4420,4660,4420,4620,226827,1041839295,4.52
23500,24100,23500,24000,18167,431043000,3.23
20450,21100,20150,21100,5771,119782600,4.71
26650,26700,26100,26300,951454,24973880050,-1.31
1755,1780,1715,1755,92969,162415800,3.85
10500,10850,10500,10750,29124,312969200,1.42
38100,39000,38100,38750,12324,477387700,1.44
20400,20800,20400,20700,12639,259802650,0.73
33450,33600,33350,33500,6808,228064050,0.15
12000,12350,11900,12200,7803,94432800,1.67
6590,6820,6590,6790,17768,119481980,1.65
5320,5470,5250,5460,111545,600969940,4.2
24150,24650,23750,24400,1591,38319300,1.88
24500,25500,24300,25350,59836,1494569150,3.47
0,0,0,3585,0,0,0.0
0,0,0,6770,0,0,0.0
6710,6910,6660,6840,1926358,13072307150,-0.44
486500,496000,481500,490500,28665,13976713500,1.98
20800,21050,20500,21000,30036,625274800,3.19
6150,6450,6150,6320,122432,774767420,2.27
2995,3065,2970,3065,1151650,3509988140,3.03
2155,2270,2155,2255,63230,140025270,3.44
33200,33500,33050,33400,2187,72578050,1.21
6300,6360,6240,6360,27503,173765540,1.27
11200,11600,11200,11550,22065,252512500,4.05
49100,50000,49100,49900,12791,636084950,1.84
1830,1960,1820,1915,997923,1909478260,6.09
1205,1285,1190,1265,2477795,3098166220,7.2
5350,5590,5260,5370,1014516,5503373310,0.37
6580,6990,6580,6980,75973,519917810,5.12
3730,3730,3565,3665,264521,965757945,0.55
7430,7450,7240,7390,631705,4642410690,1.23
12950,12950,12550,12550,4568,57648700,-3.09
70400,71500,70300,71000,1670,118695000,1.0
4610,4785,4570,4700,481516,2264902215,2.4
7810,7910,7740,7890,122776,958103350,1.81
26250,26350,26200,26300,94,2468800,0.77
139000,142000,139000,141000,86614,12174309500,0.71
86500,88700,86500,88300,3139,276756000,1.15
1220,1280,1220,1270,937951,1185930635,3.25
1280,1335,1270,1335,177073,231906985,3.89
3580,3595,3445,3475,229563,801702400,-0.71
3370,3455,3370,3445,10151,34945345,1.47
78700,79200,76600,78400,1012601,79088642400,-0.13
